ts,open,high,low,close,volume,sma_50
2025-09-22 00:00:00+00:00,6716.0,6756.75,6695.25,6752.5,1081569.0,6452.495400390625
2025-09-23 00:00:00+00:00,6749.5,6756.5,6701.75,6715.0,1264195.0,6460.575400390625
2025-09-24 00:00:00+00:00,6717.75,6728.75,6678.0,6692.25,1250173.0,6468.740400390625
2025-09-25 00:00:00+00:00,6697.25,6705.25,6624.25,6659.75,1710507.0,6475.870400390625
2025-09-26 00:00:00+00:00,6662.75,6703.75,6653.25,6696.5,1338413.0,6482.990400390625
2025-09-29 00:00:00+00:00,6697.0,6736.0,6696.25,6713.5,1209953.0,6490.565400390625
2025-09-30 00:00:00+00:00,6708.0,6743.5,6693.0,6738.75,1521737.0,6498.445400390625
2025-10-01 00:00:00+00:00,6725.5,6769.5,6680.0,6761.5,1312743.0,6506.740400390625
2025-10-02 00:00:00+00:00,6757.0,6782.25,6741.5,6766.75,1182875.0,6514.150400390625
2025-10-03 00:00:00+00:00,6764.75,6800.0,6754.0,6764.0,1366239.0,6521.400400390625
2025-10-06 00:00:00+00:00,6768.0,6797.75,6766.5,6788.75,1087339.0,6528.675400390625
2025-10-07 00:00:00+00:00,6789.5,6802.75,6747.25,6761.5,1433808.0,6535.450400390625
2025-10-08 00:00:00+00:00,6766.0,6807.75,6758.25,6801.25,1047925.0,6543.355400390625
2025-10-09 00:00:00+00:00,6802.75,6812.25,6760.75,6779.25,1370466.0,6551.015400390625
2025-10-10 00:00:00+00:00,6779.5,6806.5,6540.25,6595.25,2570043.0,6555.435400390625
2025-10-13 00:00:00+00:00,6632.0,6711.5,6632.0,6694.75,2570043.0,6564.040400390625
2025-10-14 00:00:00+00:00,6691.0,6722.5,6593.25,6686.5,2147252.0,6570.650400390625
2025-10-15 00:00:00+00:00,6684.25,6766.75,6651.5,6715.0,2009854.0,6578.445400390625
2025-10-16 00:00:00+00:00,6715.25,6750.5,6632.0,6668.75,2221351.0,6584.400400390625
2025-10-17 00:00:00+00:00,6659.25,6718.0,6571.25,6702.5,2081456.0,6591.120400390625
2025-10-20 00:00:00+00:00,6721.0,6783.0,6694.0,6773.75,1207586.0,6598.325400390625
2025-10-21 00:00:00+00:00,6779.5,6789.75,6759.25,6773.25,1285745.0,6605.795400390625
2025-10-22 00:00:00+00:00,6776.0,6788.75,6690.75,6737.0,1905565.0,6611.165400390625
2025-10-23 00:00:00+00:00,6733.5,6785.75,6717.5,6775.0,1375494.0,6616.890400390625
2025-10-24 00:00:00+00:00,6778.25,6841.25,6776.5,6827.0,1279387.0,6623.620400390625
2025-10-27 00:00:00+00:00,6881.0,6916.25,6865.75,6908.25,1191278.0,6632.355400390625
2025-10-28 00:00:00+00:00,6914.0,6944.75,6901.5,6925.75,1221838.0,6641.485400390625
2025-10-29 00:00:00+00:00,6929.25,6952.0,6882.25,6922.75,1536995.0,6651.290400390625
2025-10-30 00:00:00+00:00,6906.5,6953.75,6851.0,6855.5,1817621.0,6660.135400390625
2025-10-31 00:00:00+00:00,6897.0,6918.5,6843.5,6874.0,1764133.0,6669.850400390625
2025-11-03 00:00:00+00:00,6878.0,6909.5,6849.5,6882.75,0.0,6677.840400390625
2025-11-04 00:00:00+00:00,6884.0,6884.0,6786.25,6801.75,1702971.0,6684.765400390625
2025-11-05 00:00:00+00:00,6801.0,6857.75,6748.5,6825.25,1467734.0,6691.620400390625
2025-11-06 00:00:00+00:00,6828.5,6843.5,6733.5,6747.5,1860279.0,6696.650400390625
2025-11-07 00:00:00+00:00,6763.0,6772.0,6655.5,6753.75,2127595.0,6701.375400390625
2025-11-10 00:00:00+00:00,6788.0,6865.75,6772.0,6856.75,1597305.0,6709.055400390625
2025-11-11 00:00:00+00:00,6857.25,6880.0,6830.5,6871.5,1348763.0,6717.975400390625
2025-11-12 00:00:00+00:00,6874.0,6900.5,6852.0,6875.75,1402032.0,6726.345400390625
2025-11-13 00:00:00+00:00,6873.25,6892.5,6746.0,6760.0,2087220.0,6731.330400390625
2025-11-14 00:00:00+00:00,6762.75,6795.5,6670.5,6755.25,2105234.0,6736.640400390625
2025-11-17 00:00:00+00:00,6764.75,6801.5,6658.5,6692.0,1883810.0,6740.360400390625
